"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       1.144518144,        3.21022448,       3.097142822,       6.747459611
          0,           0,           1,       1.130443438,       3.193243794,       3.083232998,       6.733209465
          0,           0,           2,       1.067405499,       3.117770047,        3.01930469,       6.669396693
          0,           0,           3,      0.9602508144,       2.990909546,        2.90711255,       6.560934492
          0,           0,           4,      0.7959187032,       2.798274563,       2.727699302,       6.394766309
          0,           0,           5,      0.5763720593,       2.537606206,       2.475386938,       6.173721203
          0,           0,           6,      0.3259660657,        2.26166629,       2.180360611,       5.923843004
          0,           0,           7,     0.08380805112,       2.091229883,        1.91524949,       5.683514449
          0,           0,           8,    -0.09932172132,       1.949709882,       1.708098649,       5.502051956
          0,           0,           9,     -0.2096279224,       1.880116055,       1.624539878,       5.393307745
          0,           0,          10,     -0.3167848449,       1.793164639,        1.58605749,       5.286889143
          0,           0,          11,     -0.5703787703,       1.508324276,       1.250725044,       5.030946499
          0,           0,          12,     -0.6559126126,       1.363732457,       1.139297369,       4.944272253
          0,           0,          13,      -0.611619242,       1.417181223,        1.23033193,       4.990151438
          0,           0,          14,     -0.5515901664,        1.53750992,        1.33543692,       5.051483657
          0,           0,          15,     -0.7518813524,       1.279237319,       0.998945623,       4.848253113
          0,           0,          16,     -0.8158615093,       1.172807522,      0.8442970184,       4.782695813
          0,           0,          17,       -0.80158412,       1.226500422,      0.9721138769,       4.798138395
          0,           0,          18,     -0.7398487741,       1.370657077,       1.127083848,       4.862139088
          0,           0,          19,     -0.9059903818,        1.13729945,      0.8089723135,       4.692292498
          0,           0,          20,     -0.9672683143,       1.041153509,      0.6424312602,       4.629091296
          0,           0,          21,     -0.9741369331,       1.069602056,      0.7484808799,       4.623108376
          0,           0,          22,     -0.9266162959,       1.215911923,      0.9207648182,       4.673633346
          0,           0,          23,      -1.056597775,       1.029744574,      0.6329929381,       4.539384191
          0,           0,          24,      -1.108662238,      0.9592172956,      0.4622017853,       4.485129305
          0,           0,          25,       -1.13018032,       0.968667194,      0.5197000369,       4.463665821
          0,           0,          26,      -1.095738799,       1.088261687,       0.719243373,       4.501487171
          0,           0,          27,       -1.18706574,      0.9517484831,      0.4708786754,       4.405542374
          0,           0,          28,      -1.225212903,      0.9025567516,      0.3078172503,       4.365137398
          0,           0,          29,      -1.246201508,      0.8996274715,      0.3349688902,       4.343651137
          0,           0,          30,       -1.21363135,      0.9839426241,      0.5760571775,       4.379991416
          0,           0,          31,       -1.10193365,       1.137545177,       0.828579507,       4.497529327
          0,           0,          32,      -1.256680112,      0.9382386669,      0.5161552476,       4.336185568
