"Density","Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.6437,0.15889,98741,1,0,0,0,0
5.6435,0.15894,98736,1,0.00061468,0.00061468,0,0
5.6432,0.159,98731,1,0.0012294,0.0012294,0,0
5.643,0.15906,98727,1,0.0018441,0.0018441,0,0
5.6429,0.15913,98726,1,0.0024587,0.0024587,0,0
5.6429,0.15921,98725,1,0.0030734,0.0030734,0,0
5.6427,0.15938,98722,1,0.0036881,0.0036881,0,0
5.6424,0.15958,98718,1,0.0043028,0.0043028,0,0
5.6422,0.15981,98714,1,0.0049175,0.0049175,0,0
5.642,0.16008,98709,1,0.0055322,0.0055322,0,0
5.6417,0.16037,98704,1,0.0061468,0.0061468,0,0
5.6413,0.1607,98698,1,0.0067615,0.0067615,0,0
5.641,0.16107,98692,1,0.0073762,0.0073762,0,0
5.6406,0.16146,98685,1,0.0079909,0.0079909,0,0
5.6402,0.16191,98678,1,0.0086056,0.0086056,0,0
5.6398,0.16238,98670,1,0.0092203,0.0092203,0,0
5.6393,0.16289,98661,1,0.0098349,0.0098349,0,0
5.6388,0.16345,98652,1,0.01045,0.01045,0,0
5.6382,0.16403,98642,1,0.011064,0.011064,0,0
5.6376,0.16467,98632,1,0.011679,0.011679,0,0
5.637,0.16535,98621,1,0.012294,0.012294,0,0
5.6363,0.16606,98609,1,0.012908,0.012908,0,0
5.6356,0.16683,98596,1,0.013523,0.013523,0,0
5.6349,0.16763,98583,1,0.014138,0.014138,0,0
5.6341,0.16847,98568,1,0.014752,0.014752,0,0
5.6332,0.16935,98553,1,0.015367,0.015367,0,0
5.6324,0.17026,98538,1,0.015982,0.015982,0,0
5.6314,0.17123,98521,1,0.016596,0.016596,0,0
5.6304,0.17224,98503,1,0.017211,0.017211,0,0
5.6294,0.17329,98485,1,0.017826,0.017826,0,0
5.6284,0.17439,98466,1,0.018441,0.018441,0,0
5.6272,0.17553,98446,1,0.019055,0.019055,0,0
5.626,0.17673,98425,1,0.01967,0.01967,0,0
5.6248,0.17798,98402,1,0.020285,0.020285,0,0
5.6235,0.17926,98379,1,0.020899,0.020899,0,0
5.6221,0.18061,98355,1,0.021514,0.021514,0,0
5.6207,0.18201,98329,1,0.022129,0.022129,0,0
5.6192,0.18345,98303,1,0.022743,0.022743,0,0
5.6176,0.18498,98274,1,0.023358,0.023358,0,0
5.616,0.18655,98245,1,0.023973,0.023973,0,0
5.6142,0.18818,98214,1,0.024587,0.024587,0,0
5.6124,0.18989,98182,1,0.025202,0.025202,0,0
5.6106,0.19164,98149,1,0.025817,0.025817,0,0
5.6086,0.19348,98114,1,0.026431,0.026431,0,0
5.6066,0.19537,98078,1,0.027046,0.027046,0,0
5.6044,0.19733,98039,1,0.027661,0.027661,0,0
5.6021,0.1994,97998,1,0.028275,0.028275,0,0
5.5998,0.20152,97956,1,0.02889,0.02889,0,0
5.5973,0.20375,97913,1,0.029505,0.029505,0,0
5.5951,0.206,97873,1,0.03012,0.03012,0,0
5.5922,0.20823,97821,1,0.030734,0.030734,0,0
5.5893,0.21068,97769,1,0.031349,0.031349,0,0
5.5863,0.21316,97716,1,0.031964,0.031964,0,0
5.5833,0.21571,97662,1,0.032578,0.032578,0,0
5.58,0.21837,97604,1,0.033193,0.033193,0,0
5.5767,0.22108,97545,1,0.033808,0.033808,0,0
5.5732,0.22392,97482,1,0.034422,0.034422,0,0
5.5695,0.22685,97417,1,0.035037,0.035037,0,0
5.5657,0.22984,97349,1,0.035652,0.035652,0,0
5.5617,0.23298,97277,1,0.036266,0.036266,0,0
5.5575,0.23619,97202,1,0.036881,0.036881,0,0
5.5531,0.23951,97124,1,0.037496,0.037496,0,0
5.5485,0.24297,97041,1,0.03811,0.03811,0,0
5.5437,0.24652,96956,1,0.038725,0.038725,0,0
5.5387,0.25034,96867,1,0.03934,0.03934,0,0
5.5336,0.25419,96776,1,0.039954,0.039954,0,0
5.528,0.25814,96676,1,0.040569,0.040569,0,0
5.5223,0.26203,96575,1,0.041184,0.041184,0,0
5.5164,0.26607,96468,1,0.041799,0.041799,0,0
5.5099,0.27026,96353,1,0.042413,0.042413,0,0
5.5033,0.27473,96235,1,0.043028,0.043028,0,0
5.4968,0.27937,96120,1,0.043643,0.043643,0,0
5.4897,0.28418,95993,1,0.044257,0.044257,0,0
5.4821,0.2889,95857,1,0.044872,0.044872,0,0
5.4744,0.2936,95719,1,0.045487,0.045487,0,0
5.4664,0.29851,95577,1,0.046101,0.046101,0,0
5.4573,0.30368,95415,1,0.046716,0.046716,0,0
5.4488,0.30896,95264,1,0.047331,0.047331,0,0
5.4397,0.31441,95101,1,0.047945,0.047945,0,0
5.43,0.31998,94929,1,0.04856,0.04856,0,0
5.4201,0.3259,94752,1,0.049175,0.049175,0,0
5.41,0.3319,94571,1,0.049789,0.049789,0,0
5.3989,0.33804,94374,1,0.050404,0.050404,0,0
5.3876,0.34405,94173,1,0.051019,0.051019,0,0
5.3759,0.35018,93963,1,0.051633,0.051633,0,0
5.3637,0.35659,93745,1,0.052248,0.052248,0,0
5.351,0.36314,93519,1,0.052863,0.052863,0,0
5.3377,0.36986,93283,1,0.053478,0.053478,0,0
5.3241,0.37664,93040,1,0.054092,0.054092,0,0
5.3099,0.3837,92786,1,0.054707,0.054707,0,0
5.2951,0.39088,92523,1,0.055322,0.055322,0,0
5.2798,0.39822,92250,1,0.055936,0.055936,0,0
5.2639,0.40573,91967,1,0.056551,0.056551,0,0
5.2474,0.41341,91673,1,0.057166,0.057166,0,0
5.2303,0.42125,91368,1,0.05778,0.05778,0,0
5.2125,0.42924,91052,1,0.058395,0.058395,0,0
5.1942,0.4374,90725,1,0.05901,0.05901,0,0
5.1751,0.44574,90384,1,0.059624,0.059624,0,0
5.1553,0.45425,90032,1,0.060239,0.060239,0,0
5.1349,0.46292,89669,1,0.060854,0.060854,0,0
5.1138,0.47177,89292,1,0.061468,0.061468,0,0
5.0918,0.48081,88901,1,0.062083,0.062083,0,0
5.0691,0.49003,88497,1,0.062698,0.062698,0,0
5.0457,0.49942,88079,1,0.063312,0.063312,0,0
5.0214,0.50899,87648,1,0.063927,0.063927,0,0
4.9963,0.51877,87201,1,0.064542,0.064542,0,0
4.9704,0.52872,86739,1,0.065157,0.065157,0,0
4.9436,0.53887,86263,1,0.065771,0.065771,0,0
4.916,0.54919,85772,1,0.066386,0.066386,0,0
4.8874,0.55972,85263,1,0.067001,0.067001,0,0
4.858,0.57045,84739,1,0.067615,0.067615,0,0
4.8276,0.58136,84199,1,0.06823,0.06823,0,0
4.7964,0.59245,83644,1,0.068845,0.068845,0,0
4.7642,0.60375,83071,1,0.069459,0.069459,0,0
4.731,0.61526,82480,1,0.070074,0.070074,0,0
4.6969,0.62694,81874,1,0.070689,0.070689,0,0
4.6619,0.63882,81252,1,0.071303,0.071303,0,0
4.6258,0.6509,80611,1,0.071918,0.071918,0,0
4.5888,0.66316,79953,1,0.072533,0.072533,0,0
4.5509,0.67562,79278,1,0.073147,0.073147,0,0
4.512,0.68827,78587,1,0.073762,0.073762,0,0
4.4721,0.7011,77880,1,0.074377,0.074377,0,0
4.4313,0.71413,77154,1,0.074991,0.074991,0,0
4.3895,0.72733,76412,1,0.075606,0.075606,0,0
4.3468,0.7407,75654,1,0.076221,0.076221,0,0
4.3033,0.75423,74882,1,0.076836,0.076836,0,0
4.2588,0.76798,74092,1,0.07745,0.07745,0,0
4.2133,0.78188,73286,1,0.078065,0.078065,0,0
4.1672,0.79591,72467,1,0.07868,0.07868,0,0
4.1203,0.8101,71635,1,0.079294,0.079294,0,0
4.0723,0.82452,70784,1,0.079909,0.079909,0,0
4.0241,0.83899,69930,1,0.080524,0.080524,0,0
3.9744,0.85309,69050,1,0.081138,0.081138,0,0
3.9244,0.86777,68163,1,0.081753,0.081753,0,0
3.8745,0.88276,67279,1,0.082368,0.082368,0,0
3.8241,0.89766,66387,1,0.082982,0.082982,0,0
3.7732,0.91265,65485,1,0.083597,0.083597,0,0
3.7218,0.92771,64575,1,0.084212,0.084212,0,0
3.6702,0.94278,63662,1,0.084826,0.084826,0,0
3.6184,0.95786,62747,1,0.085441,0.085441,0,0
3.5665,0.97299,61828,1,0.086056,0.086056,0,0
3.5144,0.98815,60907,1,0.08667,0.08667,0,0
3.4622,1.0033,59984,1,0.087285,0.087285,0,0
3.4085,1.019,59036,1,0.0879,0.0879,0,0
3.3535,1.035,58064,1,0.088514,0.088514,0,0
3.2969,1.0515,57065,1,0.089129,0.089129,0,0
3.2398,1.0685,56057,1,0.089744,0.089744,0,0
3.1832,1.0856,55057,1,0.090359,0.090359,0,0
3.1259,1.1023,54048,1,0.090973,0.090973,0,0
3.0676,1.119,53019,1,0.091588,0.091588,0,0
3.0117,1.1355,52034,1,0.092203,0.092203,0,0
2.9564,1.1518,51059,1,0.092817,0.092817,0,0
2.9045,1.1676,50146,1,0.093432,0.093432,0,0
2.8491,1.1839,49171,1,0.094047,0.094047,0,0
2.7981,1.1994,48272,1,0.094661,0.094661,0,0
2.7478,1.2146,47387,1,0.095276,0.095276,0,0
2.6965,1.2302,46486,1,0.095891,0.095891,0,0
2.6432,1.2466,45548,1,0.096505,0.096505,0,0
2.589,1.2634,44595,1,0.09712,0.09712,0,0
2.5367,1.2797,43677,1,0.097735,0.097735,0,0
2.4873,1.2952,42810,1,0.098349,0.098349,0,0
2.4393,1.3104,41968,1,0.098964,0.098964,0,0
2.3918,1.3257,41134,1,0.099579,0.099579,0,0
2.3405,1.3414,40234,1,0.10019,0.10019,0,0
2.2961,1.3567,39457,1,0.10081,0.10081,0,0
2.2504,1.3715,38654,1,0.10142,0.10142,0,0
2.1913,1.3885,37623,1,0.10204,0.10204,0,0
2.1914,1.3916,37619,1,0.10265,0.10265,0,0
3.0117,1.0679,52152,1,0.10327,0.10327,0,0
4.3076,0.67992,75076,1,0.10388,0.10388,0,0
4.2616,0.67992,74254,1,0.1045,0.1045,0,0
4.2953,0.66139,74849,1,0.10511,0.10511,0,0
4.313,0.65474,75164,1,0.10573,0.10573,0,0
4.3338,0.64701,75535,1,0.10634,0.10634,0,0
4.3532,0.64131,75872,1,0.10696,0.10696,0,0
4.3747,0.63495,76250,1,0.10757,0.10757,0,0
4.391,0.62895,76541,1,0.10818,0.10818,0,0
4.4073,0.62284,76830,1,0.1088,0.1088,0,0
4.4228,0.61746,77106,1,0.10941,0.10941,0,0
4.4373,0.61232,77362,1,0.11003,0.11003,0,0
4.4507,0.6074,77601,1,0.11064,0.11064,0,0
4.4635,0.6028,77828,1,0.11126,0.11126,0,0
4.4751,0.59848,78035,1,0.11187,0.11187,0,0
4.4857,0.59468,78223,1,0.11249,0.11249,0,0
4.4958,0.59126,78402,1,0.1131,0.1131,0,0
4.5044,0.58802,78555,1,0.11372,0.11372,0,0
4.5131,0.58546,78710,1,0.11433,0.11433,0,0
4.5205,0.58196,78844,1,0.11495,0.11495,0,0
4.5282,0.58192,78976,1,0.11556,0.11556,0,0
4.5354,0.58161,79102,1,0.11618,0.11618,0,0
4.5415,0.57972,79212,1,0.11679,0.11679,0,0
4.5474,0.57896,79315,1,0.1174,0.1174,0,0
4.5531,0.57872,79416,1,0.11802,0.11802,0,0
4.5589,0.57849,79516,1,0.11863,0.11863,0,0
4.5638,0.57777,79602,1,0.11925,0.11925,0,0
4.5676,0.57643,79670,1,0.11986,0.11986,0,0
4.5714,0.5751,79738,1,0.12048,0.12048,0,0
4.5752,0.57376,79805,1,0.12109,0.12109,0,0
4.579,0.57239,79873,1,0.12171,0.12171,0,0
4.5828,0.57102,79941,1,0.12232,0.12232,0,0
4.5866,0.56965,80009,1,0.12294,0.12294,0,0
